Name,Age,Gender,Blood_Type,Medical_Condition,Date_of_Admission,Doctor,Hospital,Insurance_Provider,Billing_Amount,Room_Number,Admission_Type,Discharge_Date,Medication,Test_Results,Alcohol_Level,Heart_Rate,Blood_Oxygen_Level,Body_Temperature,Weight,MRI_Delay,Prescription,Dosage_in_mg,Education_Level,Dominant_Hand,Family_History,Smoking_Status,Physical_Activity,Depression_Status,Cognitive_Test_Scores,Medication_History,Nutrition_Diet,Sleep_Quality,Chronic_Health_Conditions,trestbps,cholestral,thalach,user_id,password
Bobby JacksOn,30,Male,B-,Cancer,31-01-2024,Matthew Smith,Sons and Miller,Blue Cross,18856.28131,328,Urgent,02-02-2024,Paracetamol,Normal,0.084973629,98,96.23074296,36.22485168,57.56397754,36.42102798,,,Primary School,Left,No,Current Smoker,Sedentary,No,10,No,Low-Carb Diet,Poor,Diabetes,125,212,168,user1,password1
LesLie TErRy,62,Male,A+,Obesity,20-08-2019,Samantha Davies,Kim Inc,Medicare,33643.32729,265,Emergency,26-08-2019,Ibuprofen,Inconclusive,0.016972773,78,93.03212234,36.18387372,56.83233533,31.15763321,Galantamine,12,Secondary School,Right,No,Former Smoker,Moderate Activity,No,1,Yes,Low-Carb Diet,Poor,Heart Disease,140,203,155,user2,password2
DaNnY sMitH,76,Female,A-,Obesity,22-09-2022,Tiffany Mitchell,Cook PLC,Aetna,27955.09608,205,Emergency,07-10-2022,Aspirin,Normal,0.00900025,89,93.56650425,37.32632078,59.75906557,37.64043545,,,Primary School,Right,Yes,Former Smoker,Moderate Activity,No,8,No,Mediterranean Diet,Poor,Heart Disease,145,174,125,user3,password3
andrEw waTtS,28,Female,O+,Diabetes,18-11-2020,Kevin Wells,"Hernandez Rogers and Vang,",Medicare,37909.78241,450,Elective,18-12-2020,Ibuprofen,Abnormal,0.08643726,60,93.90650966,37.03061991,58.26647094,50.67399181,Donepezil,23,Secondary School,Left,Yes,Never Smoked,Mild Activity,Yes,5,Yes,Balanced Diet,Poor,Hypertension,148,203,161,user4,password4
adrIENNE bEll,43,Female,AB+,Cancer,19-09-2022,Kathleen Hanna,White-White,Aetna,14238.31781,458,Urgent,09-10-2022,Penicillin,Abnormal,0.150747307,67,97.50899362,36.06212064,67.70502731,27.81060082,Memantine,20,Secondary School,Right,Yes,Never Smoked,Mild Activity,No,0,Yes,Low-Carb Diet,Good,Diabetes,138,294,106,user5,password5
EMILY JOHNSOn,36,Male,A+,Asthma,20-12-2023,Taylor Newton,Nunez-Humphrey,UnitedHealthcare,48145.11095,389,Urgent,24-12-2023,Ibuprofen,Normal,0.114027805,94,94.54675449,36.67807148,66.59232945,21.15486333,Rivastigmine,1.5,No School,Left,No,Former Smoker,Mild Activity,Yes,1,No,Low-Carb Diet,Poor,Diabetes,100,248,122,user6,password6
edwArD EDWaRDs,21,Female,AB-,Diabetes,03-11-2020,Kelly Olson,Group Middleton,Medicare,19580.87234,389,Emergency,15-11-2020,Paracetamol,Inconclusive,0.016193782,90,96.42336125,37.02463024,83.97655278,11.35061188,Donepezil,10,Primary School,Right,No,Never Smoked,Mild Activity,No,7,No,Mediterranean Diet,Poor,Diabetes,114,318,140,user7,password7
CHrisTInA MARtinez,20,Female,A+,Cancer,28-12-2021,Suzanne Thomas,"Powell Robinson and Valdez,",Cigna,45820.46272,277,Emergency,07-01-2022,Paracetamol,Inconclusive,0.161158077,98,92.00736986,36.05029416,69.65356381,30.33941341,,,Secondary School,Right,No,Former Smoker,Mild Activity,No,9,Yes,Low-Carb Diet,Poor,Hypertension,160,289,145,user8,password8
JASmINe aGuIlaR,82,Male,AB+,Asthma,01-07-2020,Daniel Ferguson,Sons Rich and,Cigna,50119.22279,316,Elective,14-07-2020,Aspirin,Abnormal,0.015754249,69,99.85948977,36.95525851,53.72507846,36.62968689,,,Secondary School,Right,No,Former Smoker,Mild Activity,No,10,Yes,Mediterranean Diet,Poor,,120,249,144,user9,password9
ChRISTopher BerG,58,Female,AB-,Cancer,23-05-2021,Heather Day,Padilla-Walker,UnitedHealthcare,19784.63106,249,Elective,22-06-2021,Paracetamol,Inconclusive,0.097339537,64,90.31906814,36.39628625,58.36669799,49.17575751,Rivastigmine,3,Diploma/Degree,Left,No,Former Smoker,Sedentary,Yes,7,Yes,Balanced Diet,Good,Diabetes,122,286,116,user10,password10
